repeticao,tempo_segundos
1,5.849999433849007e-05
2,5.0000002374872565e-05
3,7.819999882485718e-05
4,5.219999002292752e-05
5,4.9899987061508e-05
6,5.160000000614673e-05
7,4.820000322069973e-05
8,4.8300003982149065e-05
9,5.0000002374872565e-05
10,4.919999628327787e-05
11,4.880000778939575e-05
12,5.080000846646726e-05
13,5.049999163020402e-05
14,4.669999179895967e-05
15,3.979999746661633e-05
16,4.199999966658652e-05
17,4.090000584255904e-05
18,2.7999994927085936e-05
19,2.6599998818710446e-05
20,2.7600006433203816e-05

Media,4.688999906647951e-05
DesvioPadrao,1.1148133571237816e-05
