repeticao,tempo_segundos
1,3.770001058001071e-05
2,9.399998816661537e-06
3,7.999988156370819e-06
4,8.100003469735384e-06
5,8.300004992634058e-06
6,7.90000194683671e-06
7,8.399991202168167e-06
8,8.600007276982069e-06
9,8.200004231184721e-06
10,8.100003469735384e-06
11,8.500006515532732e-06
12,8.199989679269493e-06
13,8.29999044071883e-06
14,8.099988917820156e-06
15,8.100003469735384e-06
16,8.100003469735384e-06
17,8.200004231184721e-06
18,8.59999272506684e-06
19,7.700000423938036e-06
20,8.500006515532732e-06

Media,9.750000026542694e-06
DesvioPadrao,6.421178340888079e-06
